Ano,Mês,Unidade Federativa,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTAÇÃO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,COFINS - FINANCEIRAS,COFINS - DEMAIS,PIS/PASEP - FINANCEIRAS,PIS/PASEP - DEMAIS,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS,CPSSS,OUTRAS RECEITAS ADMINISTRADAS
2021,Junho,AM,75512575.22,-4.02,0.00,2944963.43,97062.19,10741834.88,4702584.29,32452809.56,278628.02,195654146.44,74826018.19,12072763.22,25878136.71,5466856.80,3868987.10,92619.94,249925.35,446827207.14,40483.50,116935550.35,173801.04,144915994.81,1499241.40,27619399.46,60927908.58
2021,Junho,AP,15577.41,0.00,0.00,0.00,1719.21,1591.87,336391.08,7361079.49,0.00,6136005.79,5805364.55,77067.44,88939.33,554837.64,240437.62,14390.42,67377.70,9770417.49,10925.88,4685067.66,0.00,3561994.74,0.00,24113186.82,1098070.33
2021,Junho,BA,87094944.65,-240.70,25459.68,13923102.36,0.00,41480479.39,83332319.79,130238177.91,1807973.55,252210141.48,172397333.99,20506037.79,10018860.05,17688973.71,3301712.47,970947.74,1816931.55,437178829.46,294161.19,141511969.06,1128751.51,204457167.57,1232.34,73489524.22,-22833509.02
2021,Junho,CE,92137592.67,-24.82,0.00,6302146.52,3573.00,38789475.39,24316236.69,71915322.75,27685274.56,128285987.98,146209893.94,17803737.37,11071226.22,12242590.57,4158998.88,173674.66,751891.85,310475575.46,931818.50,93086296.02,18398701.97,94367704.66,833298.80,54901533.31,18742677.08
2021,Junho,DF,2667135.72,134.27,0.00,2406998.35,1000.00,957959.45,5544985.10,311490376.13,61818056.05,865018452.69,3381455337.63,500952360.88,250909257.91,187871727.65,590661846.54,268168.97,291283078.80,558782970.80,48139318.43,470428130.16,18581410.24,393954016.79,0.00,1396309200.77,840337585.34
2021,Junho,ES,179915671.97,-46.52,0.00,1506849.43,19519133.66,217449021.13,91142727.16,69432194.90,7249435.44,161554354.71,95385320.98,14571405.40,59794140.56,8729967.60,17361518.26,424456.73,5700893.43,501183849.43,947978.02,135422092.19,6248399.86,79879127.96,33006.90,33034150.75,11495740.86
2021,Junho,GO,40884667.51,37.80,99138.15,8561525.01,47443.79,4464965.87,34827413.35,155322443.05,804032.80,179298280.03,129661347.78,9607104.65,3949671.21,9843529.99,18156606.94,5348641.87,510391.23,288222009.48,77043.72,106448266.98,533950.76,88978179.84,4953.22,53223902.81,18165836.48
2021,Junho,MA,2477779.86,-2.39,0.00,3872787.86,4889.43,812241.52,1248276.11,48040610.99,1025.97,47082542.02,42437099.80,7339740.67,718769.41,2851571.34,584585.92,207649.57,70626.35,220792176.32,11446.29,64611914.22,792.37,29815212.14,5197490.65,31100105.38,2591714.54
2021,Junho,MG,131515306.77,-1375.28,363770254.68,39426821.56,49773.38,74510702.62,182825064.58,494296592.11,11312488.58,1087936333.54,520574758.29,67800653.23,135648765.96,49454229.93,99318041.45,3837680.11,36079560.65,1099103692.06,5870544.55,349019437.27,7011879.11,493997193.45,187.05,187923795.44,56608150.78
2021,Junho,MS,52433.56,138607.79,0.00,87108.14,0.00,545162.01,7641196.13,98472720.22,25570.86,110206477.34,57712687.50,5143069.80,3296593.85,4030002.25,10586719.07,4648864.85,10194.92,120754451.41,1684.65,48367910.57,27586.19,49626683.06,0.00,26705103.87,14795480.22
